ins,strt,to,t,mk,dc,out,ru,pre,lb,ub,opt,dev
J60_38_8,default,600000.0,165980.0,71,734707,OPT,64.16275430359939,19,71.0,71.0,71.0,0.0
J60_38_9,default,600000.0,82350.0,66,372515,OPT,56.65071770334929,15,66.0,66.0,66.0,0.0
J60_39_1,default,600000.0,157071.0,80,632042,OPT,46.88559322033898,37,80.0,80.0,80.0,0.0
J60_39_10,default,600000.0,40111.0,74,201182,OPT,52.91607396870555,32,74.0,74.0,74.0,0.0
J60_39_2,default,600000.0,194884.0,84,1037851,OPT,42.54385964912281,19,84.0,84.0,84.0,0.0
J60_39_3,default,600000.0,135538.0,83,422820,OPT,50.42296846962317,31,83.0,83.0,83.0,0.0
J60_39_4,default,600000.0,131613.0,92,589091,OPT,45.136709995517705,23,92.0,92.0,92.0,0.0
J60_39_5,default,600000.0,98398.0,73,338461,OPT,48.16221348162213,19,73.0,73.0,73.0,0.0
J60_39_6,default,600000.0,36893.0,83,346728,OPT,52.21828490432318,18,84.0,84.0,84.0,1.1904761904761905
J60_39_7,default,600000.0,58974.0,68,272187,OPT,49.55065359477124,30,68.0,68.0,68.0,0.0
J60_39_8,default,600000.0,210553.0,77,1380192,OPT,46.69578209401218,27,77.0,77.0,77.0,0.0
J60_39_9,default,600000.0,30911.0,72,83151,OPT,50.953159041394336,21,72.0,72.0,72.0,0.0
J60_3_1,default,600000.0,59681.0,60,511828,OPT,36.72916666666667,25,60.0,60.0,60.0,0.0
J60_3_10,default,600000.0,31124.0,67,211337,OPT,42.15287200361828,11,69.0,69.0,69.0,2.898550724637681
J60_3_2,default,600000.0,65661.0,69,496051,OPT,33.07971014492754,29,69.0,69.0,69.0,0.0
J60_3_3,default,600000.0,140597.0,105,1304896,OPT,29.675638371290546,59,105.0,105.0,105.0,0.0
J60_3_4,default,600000.0,379073.0,81,1406717,OPT,30.528882792257278,34,81.0,81.0,81.0,0.0
J60_3_5,default,600000.0,62419.0,83,352769,OPT,27.90943995763273,35,83.0,83.0,83.0,0.0
J60_3_6,default,600000.0,46010.0,57,262997,OPT,47.48941318814277,37,57.0,57.0,57.0,0.0
J60_3_7,default,600000.0,26619.0,59,88508,OPT,38.71102741159238,20,59.0,59.0,59.0,0.0
J60_3_8,default,600000.0,168488.0,53,1425121,OPT,47.76280323450135,24,55.0,55.0,55.0,3.6363636363636362
J60_3_9,default,600000.0,28071.0,65,213676,OPT,31.153846153846153,26,67.0,67.0,67.0,2.9850746268656714
J60_40_1,default,600000.0,237417.0,86,1404015,OPT,40.84742776603242,12,86.0,86.0,86.0,0.0
J60_40_10,default,600000.0,401625.0,73,700820,OPT,41.21398205007086,27,73.0,73.0,73.0,0.0
J60_40_2,default,600000.0,100143.0,81,571895,OPT,40.449110527850685,26,81.0,81.0,81.0,0.0
J60_40_3,default,600000.0,71666.0,70,408323,OPT,40.25396825396825,15,70.0,70.0,70.0,0.0
J60_40_4,default,600000.0,121301.0,87,672227,OPT,38.56624319419238,31,87.0,87.0,87.0,0.0
J60_40_5,default,600000.0,39023.0,83,46958,OPT,43.01204819277108,21,83.0,83.0,83.0,0.0
J60_40_6,default,600000.0,31734.0,69,69981,OPT,40.1510512349459,19,69.0,69.0,69.0,0.0
J60_40_7,default,600000.0,44336.0,68,494805,OPT,39.00815800772864,22,68.0,68.0,68.0,0.0
J60_40_8,default,600000.0,165610.0,80,1193944,OPT,38.815298507462686,33,80.0,80.0,80.0,0.0
J60_40_9,default,600000.0,177804.0,90,1060563,OPT,37.53777777777778,37,90.0,90.0,90.0,0.0
J60_41_1,default,600000.0,538818.0,133,906184,SAT,71.9985447489692,24,122.0,122.0,122.0,-9.01639344262295
J60_41_10,default,600000.0,559941.0,135,1161484,SAT,70.91871091871091,57,111.0,111.0,111.0,-21.62162162162162
J60_41_2,default,600000.0,578039.0,124,885350,SAT,67.45391705069125,21,113.0,113.0,113.0,-9.734513274336283
J60_41_3,default,600000.0,499485.0,115,1056001,SAT,72.92435973793926,42,89.0,98.0,,
J60_41_4,default,600000.0,449450.0,143,572125,SAT,70.69815430471168,31,133.0,133.0,133.0,-7.518796992481203
J60_41_6,default,600000.0,554940.0,148,919178,SAT,67.77871621621621,34,134.0,134.0,134.0,-10.44776119402985
J60_41_7,default,600000.0,485813.0,147,732113,SAT,65.86167800453515,34,132.0,132.0,132.0,-11.363636363636363
J60_41_8,default,600000.0,587672.0,161,1176716,SAT,64.21177166518781,40,135.0,135.0,135.0,-19.25925925925926
J60_42_1,default,600000.0,126259.0,83,315558,OPT,57.996086911749565,18,,,,
J60_42_10,default,600000.0,172999.0,87,367763,OPT,70.06802721088435,35,,,,
J60_42_2,default,600000.0,350442.0,68,1120362,OPT,73.52941176470588,29,,,,
J60_42_3,default,600000.0,597468.0,80,1082649,SAT,75.79545454545455,17,,,,
J60_42_4,default,600000.0,496607.0,103,1050906,SAT,67.190797804981,21,,,,
J60_42_5,default,600000.0,74441.0,73,152915,OPT,64.45205479452055,15,,,,
J60_42_6,default,600000.0,424052.0,82,1098591,OPT,68.95433316035287,18,,,,
J60_42_7,default,600000.0,453096.0,58,1398579,SAT,72.16300940438872,8,,,,
J60_42_8,default,600000.0,488839.0,82,1257912,SAT,75.77489837398373,11,,,,
J60_42_9,default,600000.0,267575.0,70,843601,OPT,69.31168831168831,9,,,,
J60_43_1,default,600000.0,424719.0,108,838078,OPT,49.210686095932,53,,,,
J60_43_10,default,600000.0,224833.0,78,765718,OPT,52.13675213675214,34,,,,
J60_43_2,default,600000.0,276949.0,85,578163,OPT,65.80520732883318,45,,,,
J60_43_3,default,600000.0,545215.0,74,1284516,OPT,53.84684684684685,22,,,,
J60_43_4,default,600000.0,176974.0,74,852528,OPT,58.44144144144144,18,,,,
J60_43_5,default,600000.0,183937.0,64,400677,OPT,57.43572695035461,20,,,,
J60_43_6,default,600000.0,592815.0,144,979679,SAT,35.962680237489394,71,,,,
J60_43_7,default,600000.0,322775.0,89,1229202,OPT,57.765410059855085,48,,,,
J60_43_8,default,600000.0,229006.0,69,692946,OPT,56.08862235548892,29,,,,
J60_43_9,default,600000.0,169844.0,70,538649,OPT,61.88208616780045,21,,,,
J60_44_1,default,600000.0,482222.0,84,1129156,OPT,38.56847086660751,18,,,,
J60_44_10,default,600000.0,78976.0,65,197082,OPT,49.15837104072398,25,,,,
J60_44_2,default,600000.0,99087.0,68,587459,OPT,46.565793947636855,26,,,,
J60_44_3,default,600000.0,425015.0,87,699714,OPT,38.63887265406844,36,,,,
J60_44_4,default,600000.0,262454.0,77,540055,OPT,46.746226746226746,24,,,,
J60_44_5,default,600000.0,98498.0,74,346340,OPT,49.256303283148924,12,,,,
J60_44_6,default,600000.0,183775.0,81,860903,OPT,41.116164897841315,39,,,,
J60_44_7,default,600000.0,129468.0,76,493512,OPT,39.80096179535133,29,,,,
J60_44_8,default,600000.0,147514.0,83,538969,OPT,41.610887996430165,4,,,,
J60_44_9,default,600000.0,80039.0,65,351109,OPT,48.18056195301704,15,,,,
J60_45_1,default,600000.0,568770.0,116,704395,SAT,73.54590776900706,31,,,,
J60_45_5,default,600000.0,383408.0,134,413398,SAT,76.12922230950511,55,,,,
J60_45_7,default,600000.0,571758.0,156,1156794,SAT,70.84650509308044,51,,,,
J60_46_1,default,600000.0,271891.0,79,465552,SAT,74.6547756041427,24,,,,
J60_46_10,default,600000.0,505750.0,99,903518,SAT,75.65924734066327,37,,,,
J60_46_2,default,600000.0,443294.0,78,782610,OPT,74.80574980574981,17,,,,
J60_46_3,default,600000.0,356528.0,84,516654,SAT,70.12987012987013,17,,,,
J60_46_4,default,600000.0,153085.0,77,192823,SAT,72.96600458365164,17,,,,
J60_46_5,default,600000.0,282349.0,93,491701,SAT,72.69359356645883,19,,,,
J60_46_8,default,600000.0,241531.0,79,571642,SAT,77.72151898734178,17,,,,
J60_46_9,default,600000.0,195953.0,73,742183,SAT,74.32914242822292,21,,,,
J60_47_2,default,600000.0,345664.0,66,727940,OPT,67.002457002457,20,,,,
J60_47_3,default,600000.0,598599.0,314,1053699,SAT,18.292327546729943,58,,,,
J60_47_4,default,600000.0,150478.0,76,363843,OPT,66.28070175438596,33,,,,
J60_47_5,default,600000.0,484201.0,87,518301,OPT,65.66640343950162,31,,,,
J60_47_6,default,600000.0,470450.0,76,651409,OPT,64.62380784175204,37,,,,
J60_47_7,default,600000.0,117700.0,68,325242,OPT,68.25526506899055,19,,,,
J60_47_8,default,600000.0,99966.0,71,193543,OPT,71.14605440864365,15,,,,
J60_47_9,default,600000.0,114616.0,76,435437,OPT,64.2238507661559,27,,,,
J60_48_1,default,600000.0,438849.0,71,892179,OPT,44.966944524288586,33,,,,
J60_48_10,default,600000.0,375977.0,70,735923,OPT,52.84233900814211,19,,,,
J60_48_2,default,600000.0,204448.0,87,594050,OPT,41.41414141414141,30,,,,
J60_48_3,default,600000.0,493040.0,84,740028,OPT,52.74859943977591,38,,,,
J60_48_4,default,600000.0,261341.0,62,919355,OPT,55.551953314961914,19,,,,
J60_48_6,default,600000.0,167714.0,66,408861,OPT,58.52369852369852,24,,,,
J60_48_7,default,600000.0,278989.0,77,444628,OPT,54.23326673326674,32,,,,
J60_48_8,default,600000.0,157864.0,88,288578,OPT,52.116883116883116,34,,,,
J60_48_9,default,600000.0,120742.0,82,404473,OPT,45.7098186366479,31,,,,
J60_4_1,default,600000.0,220017.0,84,1357915,OPT,26.741622574955908,26,84.0,84.0,84.0,0.0
J60_4_10,default,600000.0,40816.0,77,126909,OPT,30.503246753246753,26,77.0,77.0,77.0,0.0
J60_4_2,default,600000.0,89592.0,60,917550,OPT,29.181286549707604,36,60.0,60.0,60.0,0.0
J60_4_3,default,600000.0,87391.0,58,465085,OPT,29.88505747126437,51,58.0,58.0,58.0,0.0
J60_4_5,default,600000.0,163097.0,75,467363,OPT,29.508417508417505,29,75.0,75.0,75.0,0.0
J60_4_6,default,600000.0,26100.0,71,185942,OPT,23.19448606532814,35,71.0,71.0,71.0,0.0
J60_4_7,default,600000.0,5554.0,67,29434,OPT,27.6797829036635,8,67.0,67.0,67.0,0.0
J60_4_8,default,600000.0,48804.0,65,226530,OPT,24.703296703296704,41,65.0,65.0,65.0,0.0
J60_4_9,default,600000.0,53549.0,75,294308,OPT,26.77987421383648,33,75.0,75.0,75.0,0.0
J60_5_1,default,600000.0,180346.0,80,342831,SAT,70.54924242424242,20,76.0,76.0,76.0,-5.263157894736842
J60_5_10,default,600000.0,541268.0,87,996798,SAT,68.69412515964241,32,81.0,81.0,81.0,-7.4074074074074066
J60_5_2,default,600000.0,573925.0,113,880763,SAT,65.44320324967359,30,106.0,106.0,106.0,-6.60377358490566
J60_5_3,default,600000.0,460540.0,82,894462,SAT,71.16212338593975,29,80.0,80.0,80.0,-2.5
J60_5_4,default,600000.0,551387.0,72,1814314,SAT,74.59677419354838,24,72.0,72.0,72.0,0.0
J60_5_5,default,600000.0,512036.0,114,893189,SAT,65.32779316712835,36,108.0,108.0,108.0,-5.555555555555555
J60_5_6,default,600000.0,286670.0,73,886512,SAT,71.54598825831702,17,74.0,74.0,74.0,1.3513513513513513
J60_5_7,default,600000.0,494836.0,80,862998,SAT,73.4375,22,75.0,75.0,75.0,-6.666666666666667
J60_5_8,default,600000.0,197604.0,82,647419,SAT,68.48625629113434,25,78.0,78.0,78.0,-5.128205128205128
J60_5_9,default,600000.0,135687.0,82,399297,OPT,71.11017661900758,16,83.0,83.0,83.0,1.2048192771084338
J60_6_1,default,600000.0,63726.0,60,264593,OPT,63.69047619047619,31,60.0,60.0,60.0,0.0
J60_6_10,default,600000.0,141901.0,74,698375,OPT,53.63513513513514,31,74.0,74.0,74.0,0.0
J60_6_2,default,600000.0,161702.0,66,662047,OPT,60.36772216547498,31,67.0,67.0,67.0,1.4925373134328357
