ins,strt,to,t,mk,dc,out,ru,pre,lb,ub,opt,dev
J60_4_3,grdlw,600000.0,67.0,58,207,OPT,26.5124016938899,0,58.0,58.0,58.0,0.0
J60_4_4,grdlw,600000.0,62.0,65,171,OPT,30.231696014828547,0,65.0,65.0,65.0,0.0
J60_4_5,grdlw,600000.0,87.0,75,220,OPT,28.000000000000004,0,75.0,75.0,75.0,0.0
J60_4_6,grdlw,600000.0,97.0,71,184,OPT,20.902007791429426,0,71.0,71.0,71.0,0.0
J60_4_7,grdlw,600000.0,77.0,67,181,OPT,27.150610583446404,0,67.0,67.0,67.0,0.0
J60_4_8,grdlw,600000.0,75.0,65,186,OPT,22.227106227106226,0,65.0,65.0,65.0,0.0
J60_4_9,grdlw,600000.0,65.0,75,182,OPT,24.364779874213838,0,75.0,75.0,75.0,0.0
J60_5_9,grdlw,600000.0,73484.0,82,112926,OPT,69.93271656854499,13,83.0,83.0,83.0,1.2048192771084338
J60_6_1,grdlw,600000.0,19634.0,60,32814,OPT,60.816326530612244,10,60.0,60.0,60.0,0.0
J60_6_10,grdlw,600000.0,121.0,74,237,OPT,49.54054054054054,7,74.0,74.0,74.0,0.0
J60_6_2,grdlw,600000.0,442832.0,66,394979,OPT,58.15457950289411,15,67.0,67.0,67.0,1.4925373134328357
J60_6_3,grdlw,600000.0,1720.0,72,3788,OPT,56.49263721552879,18,72.0,72.0,72.0,0.0
J60_6_4,grdlw,600000.0,2172.0,67,5895,OPT,56.33979634537592,14,67.0,67.0,67.0,0.0
J60_6_5,grdlw,600000.0,557.0,78,1378,OPT,50.7969507969508,13,78.0,78.0,78.0,0.0
J60_6_7,grdlw,600000.0,606.0,60,1414,OPT,60.954692556634306,13,61.0,61.0,61.0,1.639344262295082
J60_6_8,grdlw,600000.0,1935.0,72,2505,OPT,59.67741935483871,15,72.0,72.0,72.0,0.0
J60_6_9,grdlw,600000.0,2572.0,64,4861,OPT,55.117545871559635,14,64.0,64.0,64.0,0.0
J60_7_1,grdlw,600000.0,83.0,77,197,OPT,35.358801782159446,4,77.0,77.0,77.0,0.0
J60_7_10,grdlw,600000.0,112.0,82,201,OPT,34.84590659860087,7,82.0,82.0,82.0,0.0
J60_7_2,grdlw,600000.0,428.0,85,1056,OPT,39.86022131624927,12,85.0,85.0,85.0,0.0
J60_7_3,grdlw,600000.0,135.0,62,403,OPT,42.98737727910238,10,62.0,62.0,62.0,0.0
J60_7_4,grdlw,600000.0,867.0,63,3147,OPT,47.573696145124714,10,63.0,63.0,63.0,0.0
J60_7_5,grdlw,600000.0,224.0,71,546,OPT,45.847044886139265,6,71.0,71.0,71.0,0.0
J60_7_6,grdlw,600000.0,89.0,65,226,OPT,47.124047124047124,11,65.0,65.0,65.0,0.0
J60_7_7,grdlw,600000.0,1583.0,89,1284,OPT,34.79104356963867,5,89.0,89.0,89.0,0.0
J60_7_8,grdlw,600000.0,194.0,66,378,OPT,39.97584541062802,7,66.0,66.0,66.0,0.0
J60_7_9,grdlw,600000.0,7623.0,44,34772,OPT,57.619359058207976,8,44.0,44.0,44.0,0.0
J60_8_1,grdlw,600000.0,86.0,64,176,OPT,31.788793103448278,0,64.0,64.0,64.0,0.0
J60_8_10,grdlw,600000.0,105.0,97,217,OPT,26.301709513245463,0,97.0,97.0,97.0,0.0
J60_8_2,grdlw,600000.0,93.0,61,182,OPT,41.27184291118717,0,61.0,61.0,61.0,0.0
J60_8_3,grdlw,600000.0,114.0,79,166,OPT,35.77867280398926,0,79.0,79.0,79.0,0.0
J60_8_4,grdlw,600000.0,94.0,64,192,OPT,35.76882102272727,0,64.0,64.0,64.0,0.0
J60_8_5,grdlw,600000.0,103.0,83,172,OPT,31.57118268994345,0,83.0,83.0,83.0,0.0
J60_8_6,grdlw,600000.0,100.0,56,195,OPT,40.46938775510204,0,56.0,56.0,56.0,0.0
J60_8_7,grdlw,600000.0,102.0,62,222,OPT,39.97194950911641,0,62.0,62.0,62.0,0.0
J60_8_8,grdlw,600000.0,68.0,66,173,OPT,33.95316804407714,0,66.0,66.0,66.0,0.0
J60_8_9,grdlw,600000.0,85.0,58,209,OPT,35.74432296047099,0,58.0,58.0,58.0,0.0
J90_10_10,grdlw,600000.0,15152.0,75,16267,OPT,66.9440715883669,18,75.0,75.0,75.0,0.0
J90_10_2,grdlw,600000.0,76282.0,95,37216,OPT,67.85917496443813,16,95.0,95.0,95.0,0.0
J90_10_3,grdlw,600000.0,10236.0,112,5844,OPT,55.6966800804829,28,112.0,112.0,112.0,0.0
J90_10_4,grdlw,600000.0,311502.0,94,314929,OPT,49.35947421187479,19,94.0,94.0,94.0,0.0
J90_10_5,grdlw,600000.0,11583.0,78,7387,OPT,59.94257478632478,28,78.0,78.0,78.0,0.0
J90_10_6,grdlw,600000.0,3749.0,92,3155,OPT,55.959775214433606,26,92.0,92.0,92.0,0.0
J90_10_7,grdlw,600000.0,35940.0,83,37140,OPT,57.05633344187561,24,83.0,83.0,83.0,0.0
J90_10_9,grdlw,600000.0,1079.0,88,997,OPT,60.636086474501106,23,88.0,88.0,88.0,0.0
J90_11_1,grdlw,600000.0,648.0,86,644,OPT,54.825581395348834,19,86.0,86.0,86.0,0.0
