ins,strt,to,t,mk,dc,out,ru,pre,lb,ub,opt,dev
J90_37_8,vslw,600000.0,464158.0,137,210588,SAT,70.0838871336747,38,119.0,119.0,119.0,-15.126050420168067
J90_37_9,vslw,600000.0,539583.0,141,206422,SAT,61.40124650762948,22,123.0,123.0,123.0,-14.634146341463413
J90_41_1,vslw,600000.0,511414.0,169,136167,SAT,72.82051282051282,50,128.0,142.0,,
J90_41_10,vslw,600000.0,447627.0,181,88962,SAT,68.20555513509422,44,147.0,150.0,,
J90_41_2,vslw,600000.0,537251.0,208,113715,SAT,66.35302197802197,50,158.0,168.0,,
J90_41_3,vslw,600000.0,453465.0,198,115734,SAT,70.08490704142878,56,147.0,161.0,,
J90_41_4,vslw,600000.0,485096.0,186,129277,SAT,70.51729148503341,41,144.0,154.0,,
J90_41_5,vslw,600000.0,501512.0,160,170215,SAT,71.16197183098592,49,115.0,127.0,,
J90_41_6,vslw,600000.0,183613.0,162,65585,SAT,70.21003687670354,41,123.0,135.0,,
J90_41_7,vslw,600000.0,391967.0,185,107021,SAT,71.64065473924629,46,146.0,157.0,,
J90_41_8,vslw,600000.0,470729.0,200,91764,SAT,71.74675324675324,68,147.0,163.0,,
J90_41_9,vslw,600000.0,331850.0,146,102572,SAT,73.8013698630137,64,109.0,119.0,,
J90_42_10,vslw,600000.0,514829.0,96,232482,SAT,68.30900243309003,34,90.0,90.0,90.0,-6.666666666666667
J90_42_2,vslw,600000.0,432540.0,106,163512,SAT,70.4095720202485,19,102.0,102.0,102.0,-3.9215686274509802
J90_42_7,vslw,600000.0,282901.0,90,157910,SAT,74.69534050179212,30,87.0,87.0,87.0,-3.4482758620689653
J90_42_9,vslw,600000.0,27848.0,88,14700,SAT,75.31158357771261,28,83.0,83.0,83.0,-6.024096385542169
J90_45_1,vslw,600000.0,490773.0,175,130472,SAT,71.80738362760835,47,142.0,146.0,,
J90_45_10,vslw,600000.0,572494.0,202,114338,SAT,73.33064701819019,43,,,,
J90_45_2,vslw,600000.0,296297.0,173,50869,SAT,77.36673089274245,47,136.0,148.0,,
J90_45_3,vslw,600000.0,480012.0,189,96215,SAT,72.34934377791521,55,143.0,154.0,,
J90_45_4,vslw,600000.0,424930.0,164,152109,SAT,75.61645671401769,37,125.0,135.0,,
J90_45_5,vslw,600000.0,302350.0,217,59555,SAT,73.35517183943145,48,164.0,174.0,,
J90_45_6,vslw,600000.0,252703.0,214,55559,SAT,73.56393891041714,46,,,,
J90_45_7,vslw,600000.0,348224.0,167,99709,SAT,76.94919439471573,47,,,,
J90_45_8,vslw,600000.0,439882.0,195,97945,SAT,73.74236874236874,49,,,,
J90_45_9,vslw,600000.0,587357.0,191,112267,SAT,72.94315632011967,50,,,,
J90_46_1,vslw,600000.0,195364.0,109,62988,SAT,78.43381389252949,34,,,,
J90_46_4,vslw,600000.0,301511.0,99,112688,SAT,78.55772919064059,35,,,,
J90_46_5,vslw,600000.0,477329.0,93,201476,SAT,72.65480163144234,25,,,,
J90_46_6,vslw,600000.0,115119.0,86,50346,SAT,73.33420433760125,29,,,,
J90_46_8,vslw,600000.0,273066.0,107,87530,SAT,73.18525156830111,27,,,,
J90_46_9,vslw,600000.0,431947.0,95,189128,SAT,72.54172015404365,28,,,,
J90_5_1,vslw,600000.0,385129.0,85,255340,SAT,75.17792302106028,30,78.0,78.0,78.0,-8.974358974358974
